ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREFE,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
118,-46506925,-23521151,355030859000067,3550308005145,60,PENHA,21,PENHA,Leste,Leste 1,VILA RE,6047-0,RUA MUNICIPAL,19.000000,VL RE,SEVEN BOYS (FABRICA BISCOITO)
119,-46556092,-23577479,355030872000130,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,VILA DIVA,5056-3,RUA SOLIDONIO LEITE,131.000000,VL DIVA,VILA DIVA  VILA PRUDENTE
120,-46520302,-23523930,355030859000004,3550308005144,60,PENHA,21,PENHA,Leste,Leste 1,MARIA CARLOTA,1035-9,RUA NILZA,S/N,VL ESPERANCA,VILA ESPERANCA
121,-46689537,-23601569,355030835000033,3550308005103,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,CIDADE MONCOES,1081-2,AV NOVA INDEPENDENCIA,S/N,CID MONCOES,ENTRE OS N.S 489 E 837
122,-46505024,-23491824,355030818000113,3550308005138,18,CANGAIBA,21,PENHA,Leste,Leste 1,CONJUNTO HABIT VILA SILVIA,6172-7,RUA SERRA VERDE,,VILA SILVIA,CONJUNTO HAB-VILA SILVIA
123,-46453196,-23575272,355030857000041,3550308005205,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,JARDIM HELIAN,6173-5,RUA MANOEL BACELAR,,JARDIM HELIAN,RUA CONFISSAO
124,-46610236,-23603485,355030834000106,3550308005043,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,SUSSUARAMA,4054-1,RUA CINCO DE JULHO,7.000000,VL NAIR,FIM DA AV.NAZARE
125,-46429663,-23520620,355030896000176,3550308005257,47,LAJEADO,28,GUAIANASES,Leste,Leste 2,JARDIM GIANETTI,4168-8,RUA GUABIROBA DE MINAS,S/N,JD GIANETTI,
126,-46677826,-23685891,355030816000156,3550308005170,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,SABARA,7074-2,RUA JOAQUIM NEVES MONTEIRO,228.000000,STO AMARO,TV AV NOSSA SENHORA DO SABARA
127,-46582108,-23463234,355030839000005,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,VILA NILO,4049-5,RUA DR CARLOS BASTOS ARANHA,420.000000,VL NILO,S/INFOR
128,-46585909,-23618098,355030868000082,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,VILA INDEPENDENCIA,1107-0,LG LEON DE TOLSTOI C/ ANY,S/N,VL INDEPENDENCIA,RUA ANNY
129,-46748783,-23498443,355030895000030,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,VILA MANGALOT,5055-5,RUA SANDOVAL FERREIRA CABRAL,S/N,VL JAGUARA,PORT 034/94
130,-46685290,-23480282,355030811000123,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA BANCARIA,3059-7,RUA MARQUES DO RECIFE,330.000000,VL BANCARIA,TV AV ITABERABA ALTURA 2000
131,-46734657,-23441656,355030842000215,3550308005186,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,PARQUE NACOES UNIDAS,3147-0,RUA CIRIACO JIMENEZ,S/N,PQ NACOES UNIDAS,
132,-46653890,-23681421,355030822000046,3550308005168,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JARDIM VILA LUCIA,1128-2,RUA DELFINO FACCHINA,4028.000000,JD VERA LUCIA,TV ES CASA GRANDE
133,-46483233,-23606457,355030873000021,3550308005207,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,CIDADE SAO MATEUS,5163-2,RUA MARIA LUIZA DO VAL PENTEADO,S/N,CID SAO MATEUS,
134,-46541142,-23595708,355030872000025,3550308005158,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,PARQUE SAO LUCAS,1033-2,RUA CARLOS CESAR,S/N,VL DIVINA PASTORA,ES ORATORIO E PROF LUIZ I MELO
135,-46490723,-23560111,355030824000002,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,JARDIM NOVA BRASILIA,1108-8,RUA JASMIM DA ESPANHA,S/N,JD BRASILIA,PROXIMO A PC WALDEMAR BASSI
136,-46703775,-23543154,355030802000009,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,VILA IDA,5060-1,RUA REALENGO,S/N,VL IDA,TV RUA CAMINHA DO AMORIM
137,-46406927,-23564176,355030825000002,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CONJ RESID DE GUAIANAZES,6089-5,AV DR GUILHERME DE ABREU SODRE,1414.000000,GUAIANAZES COHAB,ES DO IGUATEMI
138,-46588709,-23470426,355030882000134,3550308005132,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,VILA CONSTANCIA,7046-7,RUA SEBASTIAO DE FREITAS,246.000000,VL CONSTANCA,AV.GUAPIRA ALT.1800
139,-46432170,-23604268,355030833000058,3550308005275,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,JARDIM DAS LARANJEIRAS,7209-5,RUA MARIA GARCIA BETIM,S/N,JD DAS LARANJEIRAS,
140,-46580657,-23506764,355030889000012,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,PRACA NIPON,4026-6,RUA OSAKA,848.000000,JD JAPAO,TV AV LARANJEIRAS ALTURA 1600
141,-46525952,-23514147,355030859000055,3550308005074,60,PENHA,21,PENHA,Leste,Leste 1,TIQUATIRA,4380-0,RUA PAULO MARQUES,,VILA VIDAL,AV GOVERNADOR CARVALHO PINTO
142,-46673730,-23622294,355030815000050,3550308005101,15,CAMPO BELO,14,SANTO AMARO,Sul,Sul 2,FEIRAO ECON C DE PORTO ALEGRE,1205-0,RUA CONDE DE PORTO ALEGRE,S/N,CAMPO BELO,ENTRE 1181 E 1270 JOAO S DIAS
143,-46507439,-23622795,355030876000273,3550308005161,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SERRA DE CAPIVARUCU,5118-7,RUA AGUIAS REAIS,S/N,JD ELBA,JD ELBA  VILA PRUDENTE
144,-46646002,-23644505,355030838000084,3550308005308,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,APACE,7001-7,RUA APACE,372.000000,JABAQUARA,TV ENG GEORGE CORBISIER
145,-46413656,-23504746,355030884000033,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,JARDIM SILVA TELLES,7053-0,RUA CARAIPE DAS AGUAS,177.000000,JD DOS IPES,TRAV.AV.MARECHAL TITO
146,-46421950,-23477513,355030844000099,3550308005244,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,JARDIM HELENA,1063-4,RUA CAMOMILA,852.000000,JD HELENA,REF RUA ERVA ANDORINHA
147,-46631044,-23621697,355030877000084,3550308005092,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,IBITURUNA,3022-8,RUA PARACATU,1053.000000,SAO JUDAS,ENTRE N. 724 E 936
148,-46545580,-23536984,355030891000130,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,GUAIAUNA,6030-5,RUA EDGARD DE SOUZA,82.000000,VL ARICANDUVA,PORT 10/94
149,-46600586,-23552696,355030853000042,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,MOOCA MODERNA,1005-7,RUA DOS TRILHOS C BRESSER,S/N,BRESSER,RUA BRESSER
150,-46679803,-23617209,355030815000139,3550308005101,15,CAMPO BELO,14,SANTO AMARO,Sul,Sul 2,GIL EANES,3129-1,RUA GIL EANES,S/N,CAMPO BELO,
151,-46710886,-23727325,355030823000057,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM DAS IMBUIAS,6111-5,RUA JOSE LUIZ MONTEIRO,S/N,JD IMBUIAS,MURO DA EEPB MADAME PERILLIER
152,-46539200,-23521238,355030859000102,3550308005074,60,PENHA,21,PENHA,Leste,Leste 1,PENHA,4037-1,RUA PEDRO ALEGRETTI,512.000000,PENHA,AV.AMADOR B.VEIGA (CEMITERIO)
153,-46688036,-23702484,355030823000180,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM SATELITE,7144-7,RUA CLAUDIO SERGIO BERE,S/N,JD SATELITE,FELICIANO CORREIA E HERBERT F
154,-46405192,-23552921,355030831000010,3550308005266,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JARDIM SAO PAULO,5160-8,RUA IDEAL,S/N,JD SAO PAULO,RUAS AGUANAMBI
155,-46480246,-23550069,355030805000073,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,ITAQUERA,4390-7,RUA ANDREA FELICIANI,,ARTUR ALVIM,RUA CEZAR DIAS
156,-46764422,-23562588,355030867000039,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM ADALGIZA,7215-0,AV GUSTAVO BERTHIER,S/N,VL DALVA,
157,-46694531,-23732108,355030823000041,3550308005219,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,PARQUE DAS ARVORES,7132-3,AV DO ARVOREIRO,S/N,CAPELA DO SOCORRO,CONJ HAB PARQUE DAS ARVORES
158,-46714010,-23579884,355030812000059,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,CAXINGUI,7026-2,RUA LADISLAU ROMAN,S/N,CAXINGUI,TUPINAMBA E HAROLDO GURGEL
159,-46612993,-23598030,355030834000035,3550308005043,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA,5011-3,RUA DR MARIO VICENTE,1715.000000,IPIRANGA,TV RUA SALVADOR SIMOES
160,-46518860,-23587395,355030876000215,3550308005156,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA,5063-6,RUA GAL PORFIRIO DA PAZ,371.000000,JD GRIMALDI,LARGO DO JARDIM GRIMALDI
161,-46479594,-23618827,355030873000156,3550308005206,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,JARDIM SANTA ADELIA,7256-7,RUA CACHOEIRA DE MINAS,,SAO MATEUS,
162,-46591379,-23548087,355030853000091,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,TRILHOS,5008-3,RUA PROF MACHADO TOLOSA,S/N,BELENZINHO,ENTRE PARAUPAVA E SAPUCAIA
163,-46535893,-23583052,355030872000097,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,VILA GUARANI,6051-8,RUA JOAO RODRIGUES PIRES,680.000000,VL GUARANI,VILA GUARANI E VL PRUDENTE
164,-46634615,-23603410,355030877000106,3550308005047,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,MIRANDOPOLIS,3018-0,RUA AFONSO CELSO,1426.000000,VL MARIANA,TV RUA LUIZ GOES
165,-46703472,-23631788,355030871000042,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,CHACARA SANTO ANTONIO,4052-5,RUA ALEXANDRE DUMAS,1316.000000,CHAC STO ANTONIO,AV STO AMARO ALT.5000
166,-46718971,-23631436,355030883000001,3550308005176,85,VILA ANDRADE,17,CAMPO LIMPO,Sul,Sul 2,BURLE MARX,7267-2,PQ BURLE MARX,,VILA ANDRADE,AV DONA HELENA P DE MORAES 200
167,-46684264,-23755346,355030830000016,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CONJ.RES.BRIG.FARIA LIMA,7081-5,RUA SAO CAETANO DO SUL,518.000000,GRAJAU,CONJ RES FARIA LIMA
168,-46434547,-23546413,355030847000007,3550308005261,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO,5112-8,PC BOM PASTOR,462.000000,ITAQUERA,GIOVANI QUADRI E LEONCIO GURGE
169,-46629037,-23522526,355030809000019,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,PONTE PEQUENA,1130-4,RUA GUAPORE,210.000000,PONTE PEQUENA,AVENIDA TIRADENTES
170,-46642337,-23660490,355030838000105,3550308005163,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,AMERICANOPOLIS,6033-0,RUA DEODORO DE CAMPOS,12.000000,JABAQUARA,ESQ RUA TUPIRITAMA
171,-46781585,-23596426,355030865000022,3550308005240,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM SAO JORGE,5088-1,RUA PROF JOAO DE LORENZO,S/N,JD SAO JORGE,PROXIMO CEMITERIO ISRAELITA
172,-46443071,-23632707,355030875000112,3550308005278,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,JARDIM SANTO ANDRE,7100-5,RUA DUARTE TEIXEIRA CHAVES,S/N,JD STO ANDRE,TV RUA FERREIRA DE MELO
173,-46646267,-23523544,355030809000034,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,BOM RETIRO,7005-0,RUA JARAGUA,S/N,BOM RETIRO,ESQ C/ NEVES DE CARVALHO
174,-46585175,-23505161,355030889000067,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,VILA MARIA,6370-3,PC GOMES FIGUEIREDO,,VILA MARIA,RUA VIANOPOLIS
175,-46725646,-23429575,355030842000087,3550308005309,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,JARDIM MARILU,7139-0,RUA MAXIMO BARBOSA,S/N,JD MARILU,
176,-46708491,-23740957,355030823000190,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,SAO JOSE,7075-0,AV CARLOS OBHERUBER,325.000000,STO AMARO,ESTRADA DO PARALHEIROS
177,-46431732,-23490561,355030844000134,3550308005244,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,CHACARA TRES MENINAS,7159-5,AV PEDROSO DA SILVA,,CHAC TRES MENINAS,
178,-46615702,-23601651,355030827000115,3550308005045,27,CURSINO,13,IPIRANGA,Sul,Sul 1,SANTA CRUZ,5067-9,RUA JOSE COCCIUFFO,85.000000,ALTO DO IPIRANGA,RUA SANTA CRUZ
179,-46664990,-23474441,355030813000074,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CACHOEIRINHA,7034-3,RUA JUARANA C/ DO CANAVIAL,45.000000,VL NOVA CACHOEIRINHA,TV AV IMIRIM
180,-46503624,-23606357,355030876000046,3550308005157,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,COHAB SAPOPEMBA I,7133-1,RUA FELICI TOSI,S/N,SAPOPEMBA,CONJUNTO DA COHAB
181,-46590293,-23496874,355030892000140,3550308005067,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,VILA ELISA,4184-0,RUA DOS GUARINOS,,VILA ELISA,
182,-46655676,-23493298,355030821000010,3550308005062,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,GALO DE OURO,5103-9,RUA DR IGNACIO PROENCA GOUVEIA,1031.000000,PQ PERUCHE,TV RUA ARMANDO COELHO
183,-46662268,-23686398,355030822000340,3550308005168,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JARDIM NITEROI,6118-2,RUA EDUARDO PEREIRA RAMOS,101.000000,JD NITEROI,MONS MAGGI E 14 ABRIL
184,-46556465,-23532833,355030880000059,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,CHACARA MARANHAO,7089-0,RUA ADELINO DE ALMEIDA CASTILHO,782.000000,TATUAPE,MANOEL AVILA E ARIANA
185,-46755359,-23584769,355030867000230,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,CARAMURU,5082-2,RUA PDE ALARICO ZACARIAS,,VL MARIA LUIZA,AV. HEITOR A EIRAS GARCIA 2678
186,-46568019,-23540525,355030880000019,3550308005038,82,TATUAPE,25,MOOCA,Leste,Leste 1,PRACA LUZITANIA,4023-1,RUA AIRI,437.000000,TATUAPE,BARAO DE ITAQUI
187,-46518170,-23544936,355030891000021,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,VILA DALILA,1034-0,PC BAUXITA,95.000000,VL DALILA,WALDEMAR CARLOS PEREIRA
188,-46654664,-23581712,355030832000036,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,PARQUE IBIRAPUERA,7271-0,PC EISENHOWER,,FAZENDA JUTA,ABASTPROX PARQUE IBIRAPUERA
189,-46758441,-23596387,355030894000067,3550308005181,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA REGINA,1153-3,RUA EDWARD CARMILO,S/N,JD CELESTE,
190,-46628613,-23597585,355030890000115,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,JORGE TIBIRICA,1042-1,RUA JUREIA,S/N,STA CRUZ,ENTRE R S.CRUZ/JORGE TIBIRICA
191,-46587965,-23483048,355030892000129,3550308005067,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,MANOEL SOVERAL,5026-1,RUA ANTONIO PEREIRA DE SOUZA,S/N,SANTANA,CAIXA D AGUA DE SANTANA
192,-46675498,-23460247,355030811000150,3550308005121,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,PARQUE TIETE,6084-4,RUA SAO FRANCISCO DO HUMAITA,464.000000,PQ TIETE,TV AV GENERAL PENHA BRASIL
193,-46656643,-23877195,355030855000279,3550308005302,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,VILA VARGEM GRANDE II,1246-7,RUA BEIJA FLOR,,VILA VARGEM GRANDE,
194,-46701045,-23532750,355030848000044,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,VILA ROMANA,3019-8,RUA SEPETIBA,510.000000,VL ROMANA,RUA AURELIA
195,-46582972,-23564711,355030801000054,3550308005039,01,AGUA RASA,25,MOOCA,Leste,Leste 1,PIRASSUNUNGA,1013-8,RUA TEREZINA,615.000000,ALTO DA MOOCA,CAMPO LARGO E MANAUS
196,-46594976,-23603717,355030834000134,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,CONJ RES HELIOPOLIS,1204-1,RUA FREIRE BRAYNER,S/N,SACOMA,
197,-46693651,-23495944,355030829000020,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,SANTA MARINA,6028-3,RUA ESTEVAO FURQUIM,428.000000,NOSSA SENHORA DO O,TV PEDROSO XAVIER
198,-46587695,-23543631,355030808000015,3550308005016,08,BELEM,25,MOOCA,Leste,Leste 1,ITAMARACA,7010-6,RUA SERRA DE JAIRE,S/N,ALTO DA MOOCA,PARALELA AV ALVARO RAMOS
199,-46664787,-23465286,355030813000189,3550308005125,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,ROSA DOS VENTOS,5037-7,RUA AUGUSTO GIL,207.000000,VL NOVA CACHOEIRINHA,PT FINAL ONIBUS V DIONIZIA
200,-46695427,-23768509,355030830000077,3550308005282,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM MIRNA,5096-2,AV CARLOS ALBERTO BASTOS MACHADO,S/N,COCAIA,EST.COCAIA -GRUPO ESCOLAR
201,-46600357,-23480026,355030882000004,3550308005132,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,PARQUE VITORIA,3032-5,AV MAESTRO VILA LOBOS,917.000000,PQ VITORIA,TV AV GUAPIRA
202,-46396529,-23594586,355030825000160,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES SETOR G,4163-7,RUA MOISES DE CORENA,S/N,CID TIRADENTES,
203,-46586167,-23538470,355030808000066,3550308005016,08,BELEM,25,MOOCA,Leste,Leste 1,BELEM,5007-5,RUA IRMA CAROLINA,S/N,BELENZINHO,TV AV ALVARO RAMOS
204,-46746981,-23400070,355030861000051,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,VILA CAIUBA,5185-3,RUA IRITUIA,,VILA CAIUBA,CDHU
205,-46701359,-23499020,355030829000023,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,FREGUESIA DO O,3035-0,RUA CHICO DE PAULA,61.000000,NOSSA SENHORA DO O,FIXADA
206,-46688136,-23619008,355030835000126,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,BROOKLIM PAULISTA,3045-7,RUA ROQUE PETRELA,,BROOKLIM PAULISTA,ENTRE AS RUAS CITADAS
207,-46547834,-23598566,355030872000029,3550308005158,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,PARQUE SAO LUCAS,5035-0,RUA DR JOSE CASSIO SOARES,521.000000,PQ SAO LUCAS,PQ SAO LUCAS VILA PRUDENTE
208,-46717430,-23459231,355030863000161,3550308005114,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,JARDIM N SRA APARECIDA,7157-9,RUA LARANJEIRAS DO SUL,S/N,PIRITUBA,
209,-46454121,-23545383,355030837000134,3550308005202,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,VILA CARMOSINA,5172-1,RUA VENTUROSA,S/N,VL CARMOSINA,RUA BAIXADA SANTISTA
210,-46712970,-23497392,355030863000083,3550308005112,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,VILA BONILHA,1041-3,RUA ANTONIO CORREIA,618.000000,VL BONILHA,ANTONIO CORREA 1B
211,-46588682,-23557499,355030853000060,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,AGUA RASA,3013-9,RUA DECIO ABRAMO,17.000000,AGUA RASA,FERNANDO FALCAO E ITAQUERI
212,-46606355,-23609907,355030868000197,3550308005085,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA,5390-2,PC PEDRO BALINT,,IPIRANGA,SACOMA
213,-46618823,-23613232,355030827000028,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,JARDIM DA SAUDE,1065-0,PC BRAS GONCALVES,,JD DA SAUDE,FINAL AV BOSQUE DA SAUDE
214,-46516228,-23552488,355030891000045,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,JARDIM MARINGA,6042-9,RUA MENDONCA DRUMONT,185.000000,JD MARINGA,TV RUA FERNANDO PORTO ALEGRE
215,-46704665,-23469595,355030829000136,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,MORRO GRANDE,7060-2,RUA MARIA NAZARO DA SILVA,224.000000,VL BRASILANDIA,PRACA SANTA CLARA DE ASSIS
216,-46615785,-23538897,355030810000007,3550308005005,10,BRAS,25,MOOCA,Leste,Leste 1,CONCORDIA,1002-2,RUA CONSELHEIRO BELISARIO,S/N,BRAS,RUA MARIA MARCOLINA
217,-46687625,-23544208,355030860000081,3550308005056,61,PERDIZES,8,LAPA,Oeste,Oeste,SUMAREZINHO,4011-8,RUA CAYOWAA,2008.000000,SUMAREZINHO,AV HEITOR PENTEADO
218,-46749667,-23662941,355030846000317,3550308005224,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,SAO LUIS,7400-4,RUA JOSE RODRIGUES MACIEL,,SAO LUIS,CENTRO EMPRESARIAL SANTO AMARO
219,-46510903,-23618238,355030876000189,3550308005161,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,JARDIM ELBA,1095-2,RUA TOME DA ROCHA,31.000000,JD ELBA,AVENIDA MARGINAL
220,-46648318,-23589447,355030890000152,3550308005021,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,JOAQUIM TAVORA,7006-8,RUA FRANCA PINTO,S/N,VL MARIANA,PROXIMO INSTITUTO BIOLOGICO
221,-46631467,-23469257,355030851000061,3550308005130,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,SANTA INES,4062-2,RUA ANA DE BARROS,S/N,STA INES,TV AV SANTA INES
222,-46620688,-23536194,355030810000047,3550308005005,10,BRAS,25,MOOCA,Leste,Leste 1,JULIO RIBEIRO,6004-6,RUA HENRIQUE DIAS,S/N,BRAZ,MONS ANDRADE E RODRIGUE SANTOS
223,-46434627,-23528944,355030837000216,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,XV DE NOVEMBRO,7052-1,RUA IBIAJARA,478.000000,PARADA XV NOVEMBRO,FRENTE ES 15 DE NOVEMBRO
224,-46699029,-23654239,355030871000059,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,IGUATINGA,7042-4,RUA ENG TOMAS WHATELY,250.000000,STO AMARO,PROF DELGADO E JACOMIM
225,-46527046,-23609364,355030872000172,3550308005159,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,ANA CLARA,4060-6,RUA PASCOAL RANIERI MAZILI,650.000000,VL ANA CLARA,TV RUA ANA CLARA
226,-46751050,-23570623,355030867000020,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,RIO PEQUENO,6058-5,AV PUJAIS SABATE,S/N,RIO PEQUENO,TV AV RIO PEQUENO
227,-46757811,-23507714,355030840000031,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,JARDIM MARISA,6400-9,RUA JOSE PEREIRA FALCAO,,JARDIM MARISA,
228,-46551685,-23577766,355030872000113,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,JARDIM TIALHA,3057-0,RUA PINTO DA LUZ,329.000000,JD TIALHA,ENTRE BENTO SABINO REIS E VAUT
229,-46720093,-23599439,355030854000042,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,CAXINGUI,3038-4,PC ROBERTO GOMES PEDROSA,,ESTADIO DO MORUMBI,AO LADO PC ROBERTO G PEDROSA
230,-46515555,-23586503,355030804000110,3550308005151,04,ARICANDUVA,26,ARICANDUVA-FORMOSA-CARRAO,Leste,Leste 1,JARDIM IVA,6108-5,RUA ROMILDO FINOZZI,21.000000,JD IVA,ES BARREIRA GRANDE ALTURA 3120
231,-46535261,-23501372,355030818000096,3550308005072,18,CANGAIBA,21,PENHA,Leste,Leste 1,JARDIM PIRATININGA,7214-1,RUA ADELINA LINHARES,S/N,JD PIRATININGA,
232,-46407944,-23526397,355030884000163,3550308005252,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,PARQUE SANTA RITA,1217-3,RUA TEODORO BERNARDO DO NASCIMENTO,S/N,PQ STA RITA,R LUIS ROHRER
233,-46413469,-23538650,355030896000200,3550308005259,47,LAJEADO,28,GUAIANASES,Leste,Leste 2,GUAIANAZES,4044-4,PC ANDES,S/N,GUAIANAZES,TRISTAO GAGO PROX EST GUAIAN
234,-46664485,-23544668,355030826000007,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,SUMARE MODERNA,3004-0,PC CHARLES MULLER,S/N,PACAEMBU,ESTADIO M P MACHADO CARVALHO
235,-46642732,-23633512,355030838000233,3550308005093,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA,4155-6,AV ENG ARMANDO DE ARRUDA PEREIRA,S/N,JABAQUARA,CALCADAO DA AV ENG ARMANDO
236,-46588288,-23506526,355030889000172,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,PRACA 57,5047-4,AV ALBERTO BYINGTON,496.000000,VL MARIA,PROXIMO PRACA COSMORAMA
